"User_ID","ISBN","Rating"
"U0001","0195153448","5"
"U0002","0002005018","6"
"U0003","0060973129","3"
"U0004","0374157065","5"
"U0005","0393045218","5"
"U0006","0399135782","9"
"U0007","0425176428","5"
"U0008","0671870432","5"
"U0009","0679425608","7"
"U0010","074322678X","5"
"U0011","0771074670","8"
"U0012","080652121X","5"
"U0013","0887841740","4"
"U0014","1552041778","6"
"U0015","1558746218","3"
"U0016","1567407781","7"
"U0017","1575663937","9"
"U0018","1881320189","3"
"U0019","0440234743","5"
"U0020","0452264464","6"
"U0021","0609804618","4"
"U0022","1841721522","8"
"U0023","1879384493","9"
"U0024","0061076031","7"
"U0025","0439095026","10"
"U0026","0689821166","4"
"U0027","0971880107","3"
"U0028","0345402871","3"
"U0029","0345417623","4"
"U0030","0684823802","6"
"U0031","0375759778","3"
"U0032","0425163091","6"
"U0033","3404921038","4"
"U0034","3442353866","3"
"U0035","3442410665","3"
"U0036","3442446937","7"
"U0037","0375406328","6"
"U0038","0446310786","6"
"U0039","0449005615","4"
"U0040","0060168013","6"
"U0041","038078243X","3"
"U0042","055321215X","7"
"U0043","067176537X","4"
"U0044","0061099686","8"
"U0045","0553582909","8"
"U0046","0671888587","7"
"U0047","0553582747","5"
"U0048","0425182908","5"
"U0049","042518630X","9"
"U0050","0440223571","8"
"U0051","0812523873","4"
"U0052","0842342702","3"
"U0053","0440225701","5"
"U0054","0060914068","4"
"U0055","0156047624","3"
"U0056","0245542957","7"
"U0057","0380715899","6"
"U0058","0553280333","5"
"U0059","0961769947","5"
"U0060","0964778319","3"
"U0061","0671623249","9"
"U0062","0679810307","5"
"U0063","0679865691","3"
"U0064","2070423204","4"
"U0065","0345260317","4"
"U0066","0394743741","5"
"U0067","042511774X","4"
"U0068","0804106304","4"
"U0069","1853262404","6"
"U0070","0312970242","6"
"U0071","1853260053","7"
"U0072","1414035004","8"
"U0073","0060938412","9"
"U0074","0140067477","9"
"U0075","0345465083","5"
"U0076","0451625889","7"
"U0077","1558531025","7"
"U0078","0441783589","3"
"U0079","0394895894","8"
"U0080","1569871213","5"
"U0081","0375410538","9"
"U0082","0966986105","8"
"U0083","087113375X","3"
"U0084","0340767936","5"
"U0085","0743403843","4"
"U0086","0060930365","3"
"U0087","0060177586","3"
"U0088","0071416331","3"
"U0089","0375509038","9"
"U0090","0553062042","6"
"U0091","0316769487","3"
"U0092","8445071408","3"
"U0093","8445071769","3"
"U0094","8445071777","3"
"U0095","0679429220","6"
"U0096","0671867156","7"
"U0097","0312252617","6"
"U0098","0312261594","9"
"U0099","0316748641","6"
"U0100","0316973742","6"
"U0101","0385235941","6"
"U0102","0446677450","4"
"U0103","0451166892","10"
"U0104","0553347594","6"
"U0105","0671621009","7"
"U0106","067976397X","10"
"U0107","0684822733","4"
"U0108","0786868716","6"
"U0109","8472238822","8"
"U0110","0671864769","6"
"U0111","0671521519","9"
"U0112","0440222303","6"
"U0113","0312953453","7"
"U0114","0446608653","9"
"U0115","0446612545","4"
"U0116","0446612618","4"
"U0117","0451208080","4"
"U0118","0553584383","7"
"U0119","0671027360","9"
"U0120","0812575954","4"
"U0121","0316735736","4"
"U0122","0743439740","4"
"U0123","0345372700","4"
"U0124","0380619458","10"
"U0125","0446325805","6"
"U0126","0451406923","3"
