ISBN,Title,Author,Year,Publisher,Genre,Description,Language,Keywords,Image_URL
0195153448,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,Fantasy,"Bibliographic summary: “Classical Mythology” is classified as Fantasy and was written by Mark P. O. Morford. It was published by Oxford University Press in 2002. Search and recommendation terms derived from the available metadata include: classical, mythology, morford, fantasy.",English,"classical, mythology, morford, fantasy",http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg
0002005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,General Fiction,"Bibliographic summary: “Clara Callan” is classified as General Fiction and was written by Richard Bruce Wright. It was published by HarperFlamingo Canada in 2001. Search and recommendation terms derived from the available metadata include: clara, callan, wright, general, fiction.",English,"clara, callan, wright, general, fiction",http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg
0060973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,General Fiction,"Bibliographic summary: “Decision in Normandy” is classified as General Fiction and was written by Carlo D'Este. It was published by HarperPerennial in 1991. Search and recommendation terms derived from the available metadata include: decision, normandy, d'este, general, fiction.",English,"decision, normandy, d'este, general, fiction",http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,General Fiction,"Bibliographic summary: “Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It” is classified as General Fiction and was written by Gina Bari Kolata. It was published by Farrar Straus Giroux in 1999. Search and recommendation terms derived from the available metadata include: flu, story, great, influenza, pandemic, 1918, search, virus, caused, kolata.",English,"flu, story, great, influenza, pandemic, 1918, search, virus, caused, kolata",http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg
0393045218,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton & Company,General Fiction,"Bibliographic summary: “The Mummies of Urumchi” is classified as General Fiction and was written by E. J. W. Barber. It was published by W. W. Norton & Company in 1999. Search and recommendation terms derived from the available metadata include: mummies, urumchi, barber, general, fiction.",English,"mummies, urumchi, barber, general, fiction",http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,Romance,"Bibliographic summary: “The Kitchen God's Wife” is classified as Romance and was written by Amy Tan. It was published by Putnam Pub Group in 1991. Search and recommendation terms derived from the available metadata include: kitchen, god's, wife, tan, romance.",English,"kitchen, god's, wife, tan, romance",http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,General Fiction,"Bibliographic summary: “What If?: The World's Foremost Military Historians Imagine What Might Have Been” is classified as General Fiction and was written by Robert Cowley. It was published by Berkley Publishing Group in 2000. Search and recommendation terms derived from the available metadata include: what, world's, foremost, military, historians, imagine, might, have, cowley, general.",English,"what, world's, foremost, military, historians, imagine, might, have, cowley, general",http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg
0671870432,PLEADING GUILTY,Scott Turow,1993,Audioworks,General Fiction,"Bibliographic summary: “PLEADING GUILTY” is classified as General Fiction and was written by Scott Turow. It was published by Audioworks in 1993. Search and recommendation terms derived from the available metadata include: pleading, guilty, turow, general, fiction.",English,"pleading, guilty, turow, general, fiction",http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,Romance,"Bibliographic summary: “Under the Black Flag: The Romance and the Reality of Life Among the Pirates” is classified as Romance and was written by David Cordingly. It was published by Random House in 1996. Search and recommendation terms derived from the available metadata include: black, flag, romance, reality, life, among, pirates, cordingly.",English,"black, flag, romance, reality, life, among, pirates, cordingly",http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,General Fiction,"Bibliographic summary: “Where You'll Find Me: And Other Stories” is classified as General Fiction and was written by Ann Beattie. It was published by Scribner in 2002. Search and recommendation terms derived from the available metadata include: where, you'll, find, other, stories, beattie, general, fiction.",English,"where, you'll, find, other, stories, beattie, general, fiction",http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg
0771074670,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,General Fiction,"Bibliographic summary: “Nights Below Station Street” is classified as General Fiction and was written by David Adams Richards. It was published by Emblem Editions in 1988. Search and recommendation terms derived from the available metadata include: nights, below, station, street, richards, general, fiction.",English,"nights, below, station, street, richards, general, fiction",http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,Fantasy,"Bibliographic summary: “Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust” is classified as Fantasy and was written by Adam Lebor. It was published by Citadel Press in 2000. Search and recommendation terms derived from the available metadata include: hitler's, secret, bankers, myth, swiss, neutrality, during, holocaust, lebor, fantasy.",English,"hitler's, secret, bankers, myth, swiss, neutrality, during, holocaust, lebor, fantasy",http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg
0887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press,General Fiction,"Bibliographic summary: “The Middle Stories” is classified as General Fiction and was written by Sheila Heti. It was published by House of Anansi Press in 2004. Search and recommendation terms derived from the available metadata include: middle, stories, heti, general, fiction.",English,"middle, stories, heti, general, fiction",http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg
1552041778,Jane Doe,R. J. Kaiser,1999,Mira Books,General Fiction,"Bibliographic summary: “Jane Doe” is classified as General Fiction and was written by R. J. Kaiser. It was published by Mira Books in 1999. Search and recommendation terms derived from the available metadata include: jane, doe, kaiser, general, fiction.",English,"jane, doe, kaiser, general, fiction",http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,Religion & Spirituality,"Bibliographic summary: “A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)” is classified as Religion & Spirituality and was written by Jack Canfield. It was published by Health Communications in 1998. Search and recommendation terms derived from the available metadata include: second, chicken, soup, woman's, soul, series, canfield, religion, spirituality.",English,"second, chicken, soup, woman's, soul, series, canfield, religion, spirituality",http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,Mystery & Thriller,"Bibliographic summary: “The Witchfinder (Amos Walker Mystery Series)” is classified as Mystery & Thriller and was written by Loren D. Estleman. It was published by Brilliance Audio - Trade in 1998. Search and recommendation terms derived from the available metadata include: witchfinder, amos, walker, mystery, series, estleman, thriller.",English,"witchfinder, amos, walker, mystery, series, estleman, thriller",http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg
