"User_ID","Age","Location"
"U0001","59","Selangor, Malaysia"
"U0002","30","Kuala Lumpur, Malaysia"
"U0003","49","Sarawak, Malaysia"
"U0004","51","Pahang, Malaysia"
"U0005","58","Johor, Malaysia"
"U0006","23","Kuala Lumpur, Malaysia"
"U0007","56","Pahang, Malaysia"
"U0008","43","Melaka, Malaysia"
"U0009","51","Pahang, Malaysia"
"U0010","31","Pahang, Malaysia"
"U0011","58","Selangor, Malaysia"
"U0012","49","Penang, Malaysia"
"U0013","40","Sarawak, Malaysia"
"U0014","48","Penang, Malaysia"
"U0015","48","Perak, Malaysia"
"U0016","28","Melaka, Malaysia"
"U0017","23","Penang, Malaysia"
"U0018","59","Pahang, Malaysia"
"U0019","32","Johor, Malaysia"
"U0020","28","Sabah, Malaysia"
"U0021","55","Johor, Malaysia"
"U0022","64","Pahang, Malaysia"
"U0023","42","Selangor, Malaysia"
"U0024","30","Sarawak, Malaysia"
"U0025","64","Selangor, Malaysia"
"U0026","25","Pahang, Malaysia"
"U0027","41","Perak, Malaysia"
"U0028","21","Selangor, Malaysia"
"U0029","39","Negeri Sembilan, Malaysia"
"U0030","27","Johor, Malaysia"
"U0031","51","Penang, Malaysia"
"U0032","20","Pahang, Malaysia"
"U0033","43","Sarawak, Malaysia"
"U0034","23","Melaka, Malaysia"
"U0035","24","Pahang, Malaysia"
"U0036","65","Negeri Sembilan, Malaysia"
"U0037","24","Selangor, Malaysia"
"U0038","20","Melaka, Malaysia"
"U0039","26","Melaka, Malaysia"
"U0040","27","Sabah, Malaysia"
"U0041","29","Johor, Malaysia"
"U0042","25","Sabah, Malaysia"
"U0043","29","Negeri Sembilan, Malaysia"
"U0044","53","Sarawak, Malaysia"
"U0045","50","Johor, Malaysia"
"U0046","39","Negeri Sembilan, Malaysia"
"U0047","65","Perak, Malaysia"
"U0048","52","Kuala Lumpur, Malaysia"
"U0049","41","Sarawak, Malaysia"
"U0050","18","Pahang, Malaysia"
"U0051","48","Johor, Malaysia"
"U0052","53","Pahang, Malaysia"
"U0053","55","Negeri Sembilan, Malaysia"
"U0054","28","Melaka, Malaysia"
"U0055","35","Perak, Malaysia"
"U0056","28","Johor, Malaysia"
"U0057","32","Melaka, Malaysia"
"U0058","61","Penang, Malaysia"
"U0059","56","Sabah, Malaysia"
"U0060","48","Sarawak, Malaysia"
"U0061","60","Penang, Malaysia"
"U0062","25","Kuala Lumpur, Malaysia"
"U0063","22","Negeri Sembilan, Malaysia"
"U0064","36","Sarawak, Malaysia"
"U0065","18","Melaka, Malaysia"
"U0066","22","Johor, Malaysia"
"U0067","49","Penang, Malaysia"
"U0068","25","Sarawak, Malaysia"
"U0069","35","Melaka, Malaysia"
"U0070","22","Negeri Sembilan, Malaysia"
"U0071","24","Selangor, Malaysia"
"U0072","36","Johor, Malaysia"
"U0073","64","Selangor, Malaysia"
"U0074","30","Selangor, Malaysia"
"U0075","59","Negeri Sembilan, Malaysia"
"U0076","57","Pahang, Malaysia"
"U0077","33","Melaka, Malaysia"
"U0078","47","Negeri Sembilan, Malaysia"
"U0079","49","Melaka, Malaysia"
"U0080","59","Melaka, Malaysia"
"U0081","25","Negeri Sembilan, Malaysia"
"U0082","25","Penang, Malaysia"
"U0083","48","Sarawak, Malaysia"
"U0084","28","Selangor, Malaysia"
"U0085","34","Perak, Malaysia"
"U0086","58","Johor, Malaysia"
"U0087","22","Sabah, Malaysia"
"U0088","51","Melaka, Malaysia"
"U0089","26","Sabah, Malaysia"
"U0090","62","Melaka, Malaysia"
"U0091","64","Selangor, Malaysia"
"U0092","64","Kuala Lumpur, Malaysia"
"U0093","39","Melaka, Malaysia"
"U0094","44","Selangor, Malaysia"
"U0095","18","Selangor, Malaysia"
"U0096","18","Penang, Malaysia"
"U0097","29","Pahang, Malaysia"
"U0098","55","Melaka, Malaysia"
"U0099","42","Perak, Malaysia"
"U0100","54","Negeri Sembilan, Malaysia"
"U0101","35","Melaka, Malaysia"
"U0102","56","Penang, Malaysia"
"U0103","54","Johor, Malaysia"
"U0104","18","Johor, Malaysia"
"U0105","22","Sabah, Malaysia"
"U0106","46","Sarawak, Malaysia"
"U0107","48","Selangor, Malaysia"
"U0108","46","Sarawak, Malaysia"
"U0109","28","Selangor, Malaysia"
"U0110","25","Perak, Malaysia"
"U0111","61","Sarawak, Malaysia"
"U0112","63","Selangor, Malaysia"
"U0113","34","Penang, Malaysia"
"U0114","46","Penang, Malaysia"
"U0115","31","Penang, Malaysia"
"U0116","56","Sarawak, Malaysia"
"U0117","60","Negeri Sembilan, Malaysia"
"U0118","45","Selangor, Malaysia"
"U0119","40","Melaka, Malaysia"
"U0120","65","Sabah, Malaysia"
"U0121","51","Sarawak, Malaysia"
"U0122","50","Selangor, Malaysia"
"U0123","58","Selangor, Malaysia"
"U0124","60","Penang, Malaysia"
"U0125","57","Kuala Lumpur, Malaysia"
"U0126","34","Johor, Malaysia"
"U0127","41","Perak, Malaysia"
"U0128","21","Penang, Malaysia"
"U0129","58","Johor, Malaysia"
"U0130","64","Perak, Malaysia"
"U0131","39","Johor, Malaysia"
"U0132","54","Pahang, Malaysia"
"U0133","65","Sarawak, Malaysia"
"U0134","51","Negeri Sembilan, Malaysia"
"U0135","62","Negeri Sembilan, Malaysia"
"U0136","32","Melaka, Malaysia"
"U0137","58","Selangor, Malaysia"
"U0138","44","Sabah, Malaysia"
"U0139","46","Sarawak, Malaysia"
"U0140","35","Pahang, Malaysia"
"U0141","26","Pahang, Malaysia"
"U0142","61","Perak, Malaysia"
"U0143","58","Kuala Lumpur, Malaysia"
"U0144","33","Johor, Malaysia"
"U0145","34","Melaka, Malaysia"
"U0146","62","Selangor, Malaysia"
"U0147","60","Sabah, Malaysia"
"U0148","38","Selangor, Malaysia"
"U0149","64","Pahang, Malaysia"
"U0150","39","Selangor, Malaysia"
"U0151","31","Sarawak, Malaysia"
"U0152","35","Sabah, Malaysia"
"U0153","61","Kuala Lumpur, Malaysia"
